Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
motosport,0.14,301000,-,74000,0.19,-,-,-,90500,90500,90500,110000,90500,90500,90500,74000,60500,60500,74000,60500
computer desk,0.94,823000,-,450000,1.86,-,-,-,368000,368000,368000,550000,550000,550000,450000,450000,368000,368000,450000,368000
criminal minds full episodes,0.08,110000,-,110000,0.25,-,-,-,90500,110000,90500,110000,110000,165000,135000,110000,135000,110000,60500,60500
lean cuisine,0.21,165000,-,165000,0.38,-,-,-,201000,201000,165000,368000,246000,368000,60500,60500,74000,90500,90500,74000
fruity loops,0.22,1500000,-,368000,0.21,-,-,-,301000,301000,301000,368000,368000,450000,368000,301000,301000,301000,301000,301000
dish tv,0.41,1000000,-,301000,3.08,-,-,-,246000,301000,301000,301000,301000,368000,301000,301000,368000,301000,301000,246000
keyword research,0.5,165000,-,110000,2.22,-,-,-,49500,49500,74000,246000,246000,368000,49500,49500,60500,60500,49500,60500
tax calculator,0.32,1830000,-,823000,1.38,-,-,-,550000,450000,673000,673000,1220000,2240000,1000000,673000,550000,450000,450000,450000
1040ez,0.15,368000,-,368000,1.8,-,-,-,74000,90500,1000000,673000,1000000,823000,135000,90500,90500,74000,74000,74000
german translator,0.05,1000000,-,368000,0.2,-,-,-,-,301000,301000,368000,368000,368000,450000,450000,450000,450000,368000,368000
black friday sales,0.19,673000,-,673000,0.6,-,-,-,8100,8100,8100,18100,22200,22200,60500,7480000,301000,40500,14800,12100
rubbermaid,0.69,550000,-,450000,1.23,-,-,-,450000,450000,450000,450000,368000,450000,368000,368000,450000,450000,450000,368000
area rugs,0.98,450000,-,368000,2.08,-,-,-,-,301000,301000,450000,450000,550000,368000,450000,368000,368000,368000,368000
direct buy,0.36,450000,-,246000,1.47,-,-,-,246000,246000,246000,301000,246000,301000,246000,246000,246000,246000,246000,201000
bakugan dimensions,0.04,246000,-,90500,0.13,-,-,-,49500,49500,74000,74000,60500,90500,135000,110000,110000,74000,90500,90500
hydrangea,0.37,673000,-,368000,0.75,-,-,-,-,673000,550000,450000,246000,246000,135000,201000,301000,301000,368000,450000
k cups,0.93,550000,-,450000,1.21,-,-,-,368000,368000,368000,550000,550000,823000,823000,550000,301000,246000,201000,165000
pro tools,0.25,2240000,-,673000,1.19,-,-,-,673000,673000,673000,823000,823000,823000,823000,823000,673000,550000,550000,550000
anderson windows,0.85,165000,-,165000,4.34,-,-,-,165000,165000,165000,165000,135000,135000,110000,165000,165000,165000,165000,165000
disney movie club,0.13,90500,-,74000,0.11,-,-,-,74000,74000,90500,110000,74000,90500,90500,90500,90500,74000,49500,49500
sell textbooks,0.91,301000,-,246000,2.36,-,-,-,246000,450000,201000,165000,201000,450000,450000,165000,165000,201000,301000,201000
retail me not,0.09,368000,-,301000,0.1,-,-,-,301000,301000,301000,301000,301000,301000,450000,368000,246000,246000,201000,201000
txu,0.25,246000,-,165000,1.08,-,-,-,-,165000,165000,201000,201000,201000,165000,165000,165000,165000,165000,165000
