Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
formal dresses,0.93,823000,-,450000,1.19,-,-,-,301000,450000,550000,673000,550000,673000,368000,450000,450000,450000,368000,301000
eileen fisher,0.91,135000,-,135000,1.63,-,-,-,135000,135000,135000,135000,110000,135000,135000,135000,135000,135000,110000,110000
summer dresses,0.96,450000,-,246000,1.19,-,-,-,450000,450000,368000,368000,301000,201000,90500,90500,74000,90500,165000,301000
party dresses,0.96,673000,-,301000,1.09,-,-,-,246000,301000,301000,368000,368000,368000,368000,301000,246000,246000,201000,201000
joseph a bank,0.14,165000,-,165000,0.18,-,-,-,165000,165000,165000,165000,165000,201000,301000,201000,135000,110000,90500,90500
priscilla of boston,0.13,90500,-,90500,0.1,-,-,-,90500,90500,90500,90500,90500,110000,74000,74000,90500,90500,74000,74000
prom dress,0.64,4090000,-,2240000,0.7,-,-,-,1000000,2740000,5000000,6120000,4090000,4090000,1500000,1220000,1220000,1220000,673000,673000
leather jackets,0.78,1220000,-,673000,1.21,-,-,-,368000,368000,450000,673000,823000,823000,1220000,1000000,1000000,673000,550000,450000
jovani,0.35,368000,-,201000,0.57,-,-,-,135000,201000,301000,450000,368000,368000,135000,110000,110000,110000,90500,90500
dillards dresses,0.42,74000,-,74000,0.66,-,-,-,-,90500,110000,110000,90500,90500,60500,60500,60500,74000,49500,49500
halloween costume,0.49,5000000,-,4090000,0.51,-,-,-,450000,301000,246000,301000,368000,550000,673000,1220000,30400000,11100000,2740000,823000
evening gowns,0.99,1220000,-,550000,1.13,-,-,-,368000,450000,550000,673000,673000,673000,368000,450000,550000,450000,450000,368000
nudie jeans,0.65,165000,-,49500,0.56,-,-,-,49500,60500,60500,74000,60500,74000,74000,74000,60500,27100,22200,22200
school uniforms,0.46,673000,-,368000,1.23,-,-,-,246000,301000,301000,450000,368000,368000,301000,368000,368000,301000,450000,368000
leggings,0.71,1830000,-,673000,1.13,-,-,-,450000,550000,550000,673000,673000,823000,1000000,823000,1000000,673000,450000,368000
skinny jeans,0.64,673000,-,368000,1.44,-,-,-,301000,301000,368000,368000,368000,450000,450000,450000,450000,368000,450000,368000
little black dress,0.77,246000,-,110000,1.21,-,-,-,90500,110000,110000,135000,110000,135000,110000,110000,110000,110000,90500,90500
bras,0.78,2740000,-,1000000,1.75,-,-,-,-,-,823000,1000000,823000,1000000,823000,823000,823000,823000,1000000,1000000
woolrich,0.55,368000,-,110000,0.53,-,-,-,60500,60500,60500,74000,90500,135000,246000,201000,135000,110000,74000,60500
vintage dresses,0.68,823000,-,450000,0.71,-,-,-,368000,368000,450000,550000,450000,550000,368000,368000,450000,368000,368000,301000
