Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
sullivans steakhouse,0.09,27100,-,27100,0.69,-,-,-,18100,22200,22200,27100,40500,33100,40500,33100,27100,27100,27100,27100
new york city restaurants,0.21,450000,-,368000,1.39,-,-,-,368000,368000,368000,450000,450000,450000,450000,450000,368000,301000,301000,301000
panera catering,0.2,8100,-,8100,0.99,-,-,-,9900,12100,12100,12100,8100,8100,6600,6600,6600,6600,6600,4400
99 restaurant menu,0.08,5400,-,5400,0.1,-,-,-,6600,5400,5400,12100,9900,5400,4400,4400,3600,2900,4400,2900
almond breeze,0.33,14800,-,12100,0.48,-,-,-,14800,14800,14800,14800,14800,14800,8100,9900,12100,12100,12100,12100
ruth s chris steakhouse,0.21,33100,-,27100,0.51,-,-,-,18100,22200,22200,27100,40500,33100,33100,27100,27100,22200,22200,22200
nourishing traditions,0.18,12100,-,8100,0.75,-,-,-,-,8100,8100,9900,9900,9900,8100,8100,8100,8100,8100,6600
laguna beach restaurants,0.3,14800,-,14800,0.76,-,-,-,14800,14800,14800,14800,14800,12100,9900,9900,9900,12100,18100,18100
places to eat,0.18,823000,-,450000,1.24,-,-,-,550000,550000,550000,550000,550000,450000,368000,368000,450000,450000,450000,450000
roma pizza,0.05,246000,-,40500,0.75,-,-,-,49500,49500,49500,49500,49500,49500,49500,40500,40500,40500,33100,33100
taco johns menu,0.17,4400,-,4400,0.27,-,-,-,4400,4400,4400,4400,4400,4400,3600,3600,3600,2900,3600,3600
subway apply online,0.36,14800,-,12100,0.33,-,-,-,22200,18100,14800,14800,14800,18100,9900,9900,9900,8100,8100,8100
restaurants that deliver in my area,0.58,5400,-,4400,0.7,-,-,-,1900,1600,1600,4400,6600,6600,6600,6600,5400,5400,5400,5400
las vegas buffets,0.37,90500,-,74000,1.62,-,-,-,90500,74000,74000,74000,74000,74000,74000,60500,60500,60500,74000,74000
tucson restaurants,0.18,60500,-,49500,1.53,-,-,-,49500,49500,60500,60500,74000,74000,60500,49500,49500,40500,40500,40500
pronto pizza,0.09,90500,-,18100,0.29,-,-,-,18100,18100,18100,18100,18100,22200,22200,18100,18100,14800,14800,14800
popeye chicken,0.24,110000,-,90500,0.37,-,-,-,110000,110000,74000,135000,74000,90500,74000,90500,74000,90500,74000,74000
japanese steakhouse,0.1,165000,-,165000,1.18,-,-,-,135000,165000,165000,201000,201000,201000,165000,135000,135000,110000,135000,135000
tandoor,0.17,450000,-,110000,0.72,-,-,-,110000,110000,110000,110000,110000,135000,110000,110000,110000,110000,110000,90500
vegas clubs,0.36,301000,-,246000,1.78,-,-,-,246000,246000,201000,301000,246000,301000,201000,201000,201000,201000,246000,201000
the paleo diet,0.23,246000,-,165000,0.22,-,-,-,246000,201000,246000,246000,165000,246000,110000,110000,110000,110000,90500,90500
restaurant guide,0.27,450000,-,165000,0.84,-,-,-,135000,135000,135000,201000,201000,201000,165000,165000,135000,135000,165000,165000
restaurant tables,0.81,74000,-,33100,2.52,-,-,-,33100,33100,33100,49500,49500,49500,33100,33100,33100,33100,33100,33100
el torito locations,0.02,4400,-,4400,0.33,-,-,-,4400,4400,3600,3600,3600,4400,4400,4400,4400,3600,4400,5400
ny restaurant week,0.19,74000,-,74000,0.26,-,-,-,40500,12100,18100,49500,135000,246000,14800,22200,49500,33100,74000,246000
restaurants in tucson,0.18,60500,-,49500,1.51,-,-,-,49500,49500,60500,60500,74000,74000,60500,49500,49500,40500,40500,40500
subway catering,0.38,8100,-,6600,0.82,-,-,-,8100,9900,8100,8100,6600,6600,5400,5400,5400,5400,5400,4400
la jolla restaurants,0.31,18100,-,18100,0.85,-,-,-,-,18100,18100,18100,22200,18100,18100,14800,14800,14800,18100,18100
crispers menu,0.23,3600,-,3600,0.13,-,-,-,4400,4400,4400,4400,4400,4400,3600,3600,1900,1300,1300,1900
