Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
tarot,0.2,11100000,-,1000000,1.43,-,-,-,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
snapbacks,0.39,246000,-,201000,0.24,-,-,-,550000,450000,368000,368000,246000,165000,135000,90500,74000,60500,49500,27100
numerology,0.18,1220000,-,301000,0.59,-,-,-,301000,301000,246000,301000,246000,368000,301000,246000,301000,246000,246000,246000
drop dead diva,0.08,450000,-,165000,0.29,-,-,-,450000,201000,165000,165000,135000,74000,49500,40500,49500,110000,301000,201000
the closer,0.1,3350000,-,1000000,0.76,-,-,-,1000000,1000000,1000000,1220000,1000000,1220000,1000000,1000000,1000000,1000000,1000000,1000000
bloons tower defense 5,0.12,246000,-,110000,0.1,-,-,-,110000,165000,110000,135000,110000,110000,135000,110000,110000,90500,60500,74000
grand theft auto 4 cheats,0.05,823000,-,246000,0.14,-,-,-,368000,246000,301000,301000,301000,301000,301000,201000,165000,165000,201000,246000
fushigi,0.05,450000,-,246000,0.4,-,-,-,90500,90500,90500,110000,110000,165000,550000,368000,246000,301000,450000,550000
bejeweled blitz,0.26,450000,-,165000,0.43,-,-,-,90500,90500,90500,110000,110000,165000,165000,201000,201000,246000,246000,201000
movie tickets,0.33,673000,-,368000,0.57,-,-,-,450000,450000,301000,301000,368000,368000,450000,550000,368000,246000,450000,450000
vuvuzela,0.28,368000,-,110000,0.45,-,-,-,33100,33100,33100,40500,49500,60500,60500,74000,110000,135000,135000,673000
fushigi ball,0.33,110000,-,110000,0.33,-,-,-,5400,6600,8100,14800,18100,49500,246000,165000,110000,135000,201000,368000
pga leaderboard,0.03,201000,-,110000,0.26,-,-,-,201000,135000,165000,135000,110000,74000,18100,22200,40500,165000,246000,135000
word search maker,0.16,201000,-,135000,0.18,-,-,-,74000,165000,135000,165000,135000,165000,135000,165000,135000,110000,49500,33100
page plus,0.33,301000,-,246000,0.41,-,-,-,246000,246000,201000,246000,246000,246000,201000,201000,201000,201000,246000,201000
rpg games,0.35,1220000,-,450000,1.16,-,-,-,550000,450000,450000,550000,450000,550000,550000,550000,450000,450000,450000,550000
educational games,0.52,673000,-,368000,1.27,-,-,-,301000,368000,301000,450000,368000,450000,368000,450000,368000,368000,246000,201000
stock photos,0.81,1000000,-,368000,8.99,-,-,-,368000,368000,368000,450000,450000,450000,368000,368000,450000,368000,368000,368000
preschool games,0.36,450000,-,368000,0.67,-,-,-,301000,301000,301000,450000,450000,450000,368000,450000,368000,301000,246000,246000
stieg larsson,0.09,450000,-,110000,0.46,-,-,-,-,49500,60500,74000,90500,135000,110000,110000,135000,135000,165000,201000
flash player update,0.27,368000,-,135000,0.32,-,-,-,135000,135000,165000,201000,135000,110000,110000,110000,90500,90500,135000,110000
dog games,0.42,823000,-,301000,0.37,-,-,-,301000,301000,301000,301000,301000,301000,301000,301000,246000,201000,246000,301000
mario games online,0.19,550000,-,246000,0.21,-,-,-,246000,246000,246000,301000,246000,301000,301000,246000,201000,165000,201000,246000
yahtzee,0.23,450000,-,165000,0.38,-,-,-,165000,165000,165000,165000,201000,201000,246000,201000,165000,165000,165000,165000
family fued,0.33,1000000,-,823000,0.24,-,-,-,550000,550000,550000,823000,823000,1000000,1000000,1000000,823000,673000,823000,823000
board games,0.26,2240000,-,1000000,0.57,-,-,-,823000,823000,823000,1000000,1000000,1000000,1500000,1220000,823000,823000,673000,673000
concert tickets,0.66,1000000,-,673000,1.25,-,-,-,673000,673000,673000,823000,823000,673000,673000,673000,550000,673000,673000,673000
media player classic,0.12,2240000,-,201000,0.48,-,-,-,201000,201000,201000,246000,201000,246000,246000,201000,201000,201000,201000,201000
xbox 360 kinect,0.67,673000,-,201000,1.37,-,-,-,90500,74000,90500,110000,135000,246000,823000,823000,90500,49500,49500,60500
christmas coloring pages,0.03,201000,-,135000,0.44,-,-,-,5400,4400,5400,14800,14800,22200,1220000,368000,33100,12100,6600,5400
majong,0.15,550000,-,90500,0.35,-,-,-,60500,74000,74000,74000,74000,90500,90500,90500,90500,90500,110000,135000
lloyd banks,0,673000,-,301000,0.49,-,-,-,201000,201000,246000,301000,301000,368000,368000,673000,368000,201000,165000,165000
sesame street games,0.16,90500,-,60500,0.13,-,-,-,60500,60500,60500,74000,60500,60500,60500,60500,60500,49500,49500,60500
audacity download,0.13,301000,-,74000,0.22,-,-,-,74000,74000,74000,90500,74000,90500,74000,74000,74000,60500,49500,49500
cheap books,0.94,550000,-,368000,2.11,-,-,-,246000,246000,165000,246000,301000,823000,368000,201000,201000,450000,1000000,368000
online scrabble,0.37,550000,-,301000,0.58,-,-,-,246000,301000,301000,368000,301000,368000,301000,301000,246000,246000,301000,301000
movie posters,0.39,673000,-,368000,0.72,-,-,-,301000,368000,301000,368000,368000,450000,368000,368000,368000,368000,301000,301000
radio stations,0.2,3350000,-,1830000,0.47,-,-,-,1500000,1500000,1500000,1830000,1830000,1830000,1830000,1830000,1830000,1830000,1500000,1500000
windows movie maker download,0.13,1000000,-,165000,0.39,-,-,-,165000,201000,165000,201000,165000,201000,201000,201000,165000,135000,165000,165000
new release movies,0.13,673000,-,301000,0.6,-,-,-,246000,246000,246000,301000,301000,301000,301000,301000,246000,246000,246000,301000
funbrain games,0.21,90500,-,74000,0.21,-,-,-,90500,110000,110000,135000,90500,74000,60500,74000,60500,49500,27100,22200
mamma mia,0.25,1830000,-,246000,1.04,-,-,-,201000,246000,201000,246000,301000,368000,246000,201000,201000,246000,201000,201000
dvd release dates,0.09,673000,-,450000,0.54,-,-,-,368000,368000,301000,450000,450000,550000,550000,673000,550000,550000,550000,450000
lil wayne songs,0.06,368000,-,301000,0.35,-,-,-,301000,301000,301000,368000,301000,368000,301000,368000,301000,301000,246000,201000
acoustic guitar,0.31,1830000,-,823000,0.88,-,-,-,823000,673000,673000,823000,823000,1000000,1000000,823000,823000,823000,823000,823000
country songs,0.04,1220000,-,1000000,0.42,-,-,-,1000000,1220000,1000000,1000000,1000000,1220000,823000,1000000,823000,823000,823000,823000
online chess,0.27,1000000,-,201000,0.53,-,-,-,201000,201000,201000,201000,201000,201000,246000,201000,201000,165000,165000,165000
vegas shows,0.73,673000,-,550000,1.73,-,-,-,550000,450000,450000,550000,550000,673000,550000,450000,450000,450000,450000,450000
family feud online,0.39,165000,-,135000,0.25,-,-,-,110000,110000,90500,110000,135000,165000,201000,165000,135000,110000,165000,165000
princess games,0.28,673000,-,165000,0.25,-,-,-,165000,165000,165000,165000,165000,201000,165000,165000,135000,135000,165000,165000
nora roberts,0.11,368000,-,110000,0.38,-,-,-,135000,110000,110000,110000,110000,135000,135000,135000,110000,110000,110000,110000
gimp download,0.3,550000,-,74000,0.37,-,-,-,74000,74000,74000,74000,74000,90500,90500,74000,74000,74000,74000,74000
criminal minds full episodes,0.08,110000,-,110000,0.25,-,-,-,90500,110000,90500,110000,110000,165000,135000,110000,135000,110000,60500,60500
droid apps,0.14,550000,-,450000,1.43,-,-,-,246000,301000,301000,450000,450000,550000,673000,550000,550000,550000,673000,550000
fruity loops,0.22,1500000,-,368000,0.21,-,-,-,301000,301000,301000,368000,368000,450000,368000,301000,301000,301000,301000,301000
