Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
jailbreakme,0.09,673000,-,165000,0.13,-,-,-,201000,90500,110000,135000,110000,165000,165000,201000,201000,246000,550000,12100
turtle beach,0.25,550000,-,301000,0.32,-,-,-,301000,246000,246000,301000,301000,368000,450000,301000,201000,201000,201000,201000
htc incredible,0.31,823000,-,550000,1.04,-,-,-,368000,368000,368000,450000,450000,450000,550000,550000,450000,550000,673000,673000
sennheiser,0.38,2740000,-,450000,0.9,-,-,-,368000,368000,368000,450000,450000,550000,550000,550000,450000,368000,368000,368000
ati drivers,0.26,1830000,-,301000,0.33,-,-,-,301000,301000,246000,368000,301000,368000,301000,301000,301000,301000,301000,301000
googlevoice,0.03,74000,-,60500,0.14,-,-,-,90500,90500,74000,74000,60500,60500,60500,60500,49500,49500,49500,40500
reverse cell phone lookup,0.87,165000,-,165000,1.02,-,-,-,165000,135000,135000,135000,135000,165000,165000,165000,165000,165000,165000,165000
visio,0.17,4090000,-,823000,1.77,-,-,-,823000,823000,823000,1000000,823000,823000,673000,823000,823000,823000,673000,673000
3d tv,0.69,1830000,-,368000,1.87,-,-,-,301000,301000,301000,368000,368000,450000,550000,550000,368000,301000,246000,301000
reverse phone,0.65,2240000,-,1830000,0.56,-,-,-,1830000,1830000,1830000,2240000,1830000,2240000,1830000,1830000,1830000,1830000,1830000,1830000
samsung tv,0.58,3350000,-,673000,1.22,-,-,-,673000,673000,673000,673000,673000,823000,1000000,1000000,673000,673000,550000,550000
oovoo download,0.08,368000,-,110000,0.16,-,-,-,165000,110000,110000,135000,135000,201000,165000,110000,74000,60500,49500,60500
phone number search,0.77,1500000,-,1000000,0.72,-,-,-,1000000,1000000,1000000,1000000,1000000,1220000,1000000,1000000,1000000,1000000,1000000,1000000
android phones,0.47,1830000,-,673000,3.45,-,-,-,673000,673000,550000,823000,673000,823000,673000,673000,550000,550000,550000,550000
mycricket,0.18,450000,-,201000,0.21,-,-,-,201000,201000,246000,301000,246000,246000,246000,246000,201000,201000,165000,165000
collapse,0.06,3350000,-,1500000,0.49,-,-,-,1000000,1500000,1500000,1830000,1500000,1500000,2240000,1500000,1500000,1500000,1220000,1000000
windows phone,0.28,2740000,-,823000,2.66,-,-,-,823000,823000,823000,823000,823000,1000000,1000000,1500000,1000000,450000,368000,301000
samsung reality,0.33,135000,-,135000,0.81,-,-,-,74000,74000,60500,74000,74000,90500,110000,135000,201000,246000,301000,246000
unlocked cell phones,0.88,246000,-,165000,1.54,-,-,-,135000,110000,110000,135000,135000,165000,201000,165000,165000,165000,165000,165000
att mail,0.15,823000,-,673000,2.26,-,-,-,-,673000,673000,823000,673000,823000,673000,673000,673000,673000,673000,673000
blu ray player,0.53,1220000,-,550000,0.72,-,-,-,450000,368000,450000,550000,550000,673000,1000000,1000000,450000,368000,368000,368000
windows updates,0.24,2740000,-,823000,0.68,-,-,-,823000,823000,823000,1000000,823000,1000000,1000000,823000,1000000,823000,823000,823000
consumer cellular,0.46,90500,-,90500,0.74,-,-,-,110000,90500,90500,90500,90500,90500,110000,74000,74000,74000,74000,60500
dvr,0.39,3350000,-,1000000,1.74,-,-,-,823000,823000,1000000,1000000,1000000,1220000,1220000,1220000,1220000,1220000,1000000,1000000
reverse number lookup,0.64,246000,-,201000,0.61,-,-,-,201000,165000,165000,201000,201000,201000,201000,246000,246000,246000,246000,201000
vtech,0.44,1000000,-,301000,0.99,-,-,-,246000,201000,246000,246000,246000,368000,673000,673000,301000,301000,246000,201000
pdf to word,0.35,5000000,-,450000,1.41,-,-,-,550000,550000,550000,550000,550000,550000,450000,450000,550000,450000,368000,368000
photographers,0.46,7480000,-,3350000,2.4,-,-,-,2740000,3350000,3350000,4090000,4090000,5000000,3350000,3350000,3350000,3350000,2740000,2740000
sbcglobal,0.24,673000,-,450000,1.03,-,-,-,450000,450000,450000,550000,450000,450000,450000,450000,450000,450000,450000,450000
gimp download,0.3,550000,-,74000,0.37,-,-,-,74000,74000,74000,74000,74000,90500,90500,74000,74000,74000,74000,74000
ibuypower,0.21,90500,-,60500,0.35,-,-,-,60500,74000,60500,74000,74000,60500,74000,90500,60500,60500,60500,60500
zune hd,0.23,301000,-,201000,0.47,-,-,-,135000,135000,135000,201000,201000,246000,301000,246000,201000,201000,201000,201000
