Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
wholesale purses,0.91,110000,-,74000,1.37,-,-,-,74000,74000,74000,110000,90500,90500,90500,90500,74000,74000,74000,74000
bolle,0.47,1000000,-,110000,0.67,-,-,-,110000,110000,90500,135000,110000,135000,135000,110000,110000,110000,110000,110000
the sak,0.21,1830000,-,201000,0.66,-,-,-,246000,246000,201000,301000,246000,246000,201000,201000,201000,201000,201000,165000
dooney,0.68,450000,-,368000,0.54,-,-,-,301000,368000,301000,368000,368000,368000,673000,450000,368000,301000,368000,301000
tilley hats,1,40500,-,22200,0.78,-,-,-,33100,22200,18100,18100,14800,18100,22200,18100,14800,18100,27100,33100
dolce and gabbana sunglasses,0.91,90500,-,49500,1,-,-,-,49500,49500,40500,49500,49500,49500,49500,40500,40500,40500,49500,49500
31 purses,0.14,27100,-,27100,0.1,-,-,-,33100,27100,27100,40500,33100,33100,18100,27100,22200,18100,18100,12100
mz wallace,0.89,22200,-,18100,0.65,-,-,-,18100,18100,18100,18100,18100,18100,22200,18100,14800,14800,14800,12100
bree,0.02,2740000,-,823000,0.99,-,-,-,550000,673000,1000000,2240000,1000000,1000000,673000,673000,673000,550000,450000,673000
native sunglasses,0.83,14800,-,14800,1.13,-,-,-,18100,14800,12100,12100,9900,9900,9900,9900,12100,14800,18100,22200
handbags wholesale,0.88,246000,-,165000,1.38,-,-,-,135000,135000,135000,201000,165000,165000,165000,165000,165000,165000,135000,135000
ray ban glasses,0.98,301000,-,135000,1.08,-,-,-,201000,165000,135000,165000,135000,135000,135000,110000,110000,110000,110000,135000
laptop sleeves,0.87,110000,-,60500,1.06,-,-,-,40500,33100,33100,49500,49500,60500,90500,60500,49500,49500,74000,60500
human hair extensions,0.92,110000,-,60500,0.89,-,-,-,60500,60500,60500,60500,60500,60500,49500,49500,49500,49500,49500,49500
duluth pack,0.34,14800,-,12100,0.33,-,-,-,9900,9900,9900,12100,12100,14800,14800,12100,9900,9900,12100,9900
htc pyramid,0.07,49500,-,14800,2.16,-,-,-,5400,9900,40500,74000,49500,91,0,16,12,16,0,0
cowboy hat,0.63,246000,-,201000,0.66,-,-,-,201000,165000,165000,201000,201000,201000,201000,165000,201000,165000,165000,165000
milky way hair,0.65,33100,-,27100,0.45,-,-,-,33100,33100,27100,33100,27100,27100,27100,27100,27100,22200,27100,27100
mens wallets,0.92,165000,-,110000,1.19,-,-,-,90500,74000,74000,90500,110000,110000,201000,135000,90500,90500,74000,74000
laptop backpack,0.84,246000,-,110000,0.96,-,-,-,110000,90500,90500,110000,110000,135000,135000,110000,90500,110000,165000,135000
bandeau,0.73,450000,-,135000,1.12,-,-,-,246000,201000,165000,165000,110000,90500,60500,49500,74000,74000,110000,165000
versace sunglasses,0.83,60500,-,40500,0.82,-,-,-,40500,40500,33100,40500,40500,40500,40500,40500,40500,33100,40500,40500
brahmin handbags,0.77,18100,-,14800,0.61,-,-,-,12100,14800,14800,18100,18100,18100,22200,18100,14800,14800,12100,12100
kentucky derby hats,0.8,22200,-,22200,0.51,-,-,-,9900,90500,74000,33100,18100,12100,4400,5400,6600,5400,5400,6600
designer sunglasses,0.91,201000,-,90500,1.64,-,-,-,90500,74000,74000,110000,110000,110000,90500,90500,90500,90500,90500,110000
burlap,0.58,165000,-,110000,1.39,-,-,-,135000,135000,135000,135000,110000,135000,110000,135000,135000,110000,90500,90500
lanterns,0.35,3350000,-,1830000,0.88,-,-,-,-,2240000,1500000,1500000,1500000,1830000,1500000,1830000,2240000,1500000,1500000,1830000
hair clips,0.71,550000,-,301000,0.59,-,-,-,301000,301000,301000,368000,301000,301000,246000,246000,301000,246000,246000,246000
dakine backpacks,0.94,40500,-,27100,0.9,-,-,-,22200,18100,18100,22200,22200,27100,27100,22200,18100,27100,60500,33100
parasol,0.64,823000,-,110000,0.84,-,-,-,135000,135000,135000,135000,110000,110000,90500,90500,110000,110000,110000,135000
hair weave,0.43,368000,-,246000,0.74,-,-,-,301000,301000,246000,301000,301000,301000,246000,246000,246000,201000,246000,246000
fedora hats,0.82,90500,-,60500,0.73,-,-,-,-,60500,60500,74000,60500,60500,74000,60500,60500,49500,49500,49500
laptop bag,0.88,823000,-,301000,1.11,-,-,-,301000,246000,246000,301000,368000,368000,550000,368000,301000,301000,368000,301000
locs,0.2,165000,-,90500,0.7,-,-,-,90500,90500,90500,110000,90500,90500,90500,74000,90500,90500,90500,90500
money clips,0.81,201000,-,135000,1.19,-,-,-,110000,110000,90500,110000,135000,135000,201000,165000,110000,110000,110000,110000
laptop sleeve,0.78,246000,-,110000,0.95,-,-,-,90500,90500,74000,110000,110000,135000,201000,135000,90500,110000,135000,110000
cheap designer handbags,0.82,40500,-,22200,1.3,-,-,-,18100,18100,18100,22200,22200,22200,27100,22200,18100,18100,22200,22200
leather handbags,0.86,450000,-,201000,1.22,-,-,-,165000,135000,135000,246000,246000,246000,246000,201000,201000,165000,201000,165000
shutter shades,0.51,33100,-,18100,1.36,-,-,-,18100,18100,18100,18100,18100,18100,14800,18100,27100,22200,22200,22200
computer glasses,0.85,40500,-,27100,1.73,-,-,-,27100,27100,27100,33100,33100,33100,27100,27100,27100,22200,22200,22200
designer purses,0.78,201000,-,90500,1.55,-,-,-,74000,74000,74000,90500,110000,110000,110000,110000,90500,90500,90500,90500
kangol hats,0.99,33100,-,22200,0.63,-,-,-,18100,14800,18100,22200,22200,27100,40500,27100,22200,18100,14800,14800
wholesale sunglasses,0.91,60500,-,40500,1.63,-,-,-,49500,49500,49500,60500,49500,40500,33100,33100,40500,33100,40500,49500
mosley tribes,0.58,27100,-,18100,1.05,-,-,-,27100,27100,22200,22200,18100,14800,12100,12100,12100,18100,18100,22200
school backpacks,0.94,90500,-,60500,1.21,-,-,-,49500,27100,22200,33100,33100,40500,33100,33100,33100,60500,246000,165000
tory burch handbags,1,22200,-,18100,1.95,-,-,-,18100,18100,18100,18100,14800,18100,27100,22200,14800,14800,14800,14800
