Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
discount handbags,0.9,90500,-,60500,1.23,-,-,-,40500,40500,40500,60500,74000,74000,90500,74000,60500,60500,60500,60500
hobo handbags,0.94,60500,-,40500,1.03,-,-,-,33100,33100,33100,49500,49500,49500,60500,49500,40500,40500,40500,40500
leather purses,0.83,165000,-,110000,1.13,-,-,-,74000,74000,74000,135000,135000,135000,135000,110000,90500,90500,90500,90500
tano bags,1,8100,-,8100,0.84,-,-,-,4400,4400,5400,8100,8100,8100,9900,9900,9900,9900,8100,8100
purses wholesale,0.91,110000,-,74000,1.22,-,-,-,74000,74000,74000,110000,90500,90500,90500,90500,74000,74000,74000,74000
evening bags,0.98,74000,-,33100,1.09,-,-,-,27100,27100,27100,33100,33100,33100,27100,27100,27100,33100,33100,33100
le sportsac,0.9,135000,-,74000,0.62,-,-,-,74000,74000,60500,74000,60500,74000,74000,74000,74000,74000,110000,90500
kathy purses,0.78,22200,-,18100,0.63,-,-,-,9900,12100,12100,18100,14800,18100,27100,27100,18100,18100,18100,14800
handbags for less,0.89,18100,-,14800,1.33,-,-,-,9900,12100,12100,14800,14800,14800,18100,18100,14800,14800,14800,14800
kathy van zeeland luggage,0.88,6600,-,5400,0.69,-,-,-,4400,5400,4400,5400,5400,5400,6600,6600,4400,4400,5400,5400
purse party,0.42,40500,-,27100,0.7,-,-,-,22200,27100,27100,33100,27100,33100,22200,33100,33100,33100,27100,27100
l.a.m.b. handbags,1,14800,-,12100,0.93,-,-,-,9900,9900,9900,12100,14800,14800,14800,12100,12100,12100,12100,9900
wristlets,0.73,90500,-,74000,0.86,-,-,-,60500,74000,60500,74000,74000,74000,135000,90500,60500,60500,60500,60500
big buddha bags,1,14800,-,12100,0.86,-,-,-,9900,12100,12100,14800,12100,14800,14800,14800,14800,14800,14800,12100
isabella fiore,0.76,14800,-,12100,0.53,-,-,-,9900,9900,9900,12100,14800,14800,18100,12100,14800,12100,9900,12100
