Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
antonyms,0.03,1220000,-,673000,0.11,-,-,-,301000,550000,673000,823000,823000,823000,550000,823000,823000,1000000,368000,201000
textbooks,0.58,5000000,-,3350000,2.15,-,-,-,2240000,2740000,1830000,2740000,2740000,5000000,3350000,2240000,2240000,3350000,5000000,2240000
audio books,0.48,1830000,-,823000,1.46,-,-,-,823000,823000,823000,1000000,1000000,1220000,1000000,823000,823000,823000,823000,823000
zip code map,0.14,550000,-,550000,0.51,-,-,-,-,550000,550000,673000,550000,673000,550000,450000,550000,550000,550000,550000
latin translator,0.05,673000,-,368000,0.34,-,-,-,201000,301000,301000,368000,368000,368000,368000,368000,368000,450000,301000,246000
stieg larsson,0.09,450000,-,110000,0.46,-,-,-,-,49500,60500,74000,90500,135000,110000,110000,135000,135000,165000,201000
dog games,0.42,823000,-,301000,0.37,-,-,-,301000,301000,301000,301000,301000,301000,301000,301000,246000,201000,246000,301000
mario games online,0.19,550000,-,246000,0.21,-,-,-,246000,246000,246000,301000,246000,301000,301000,246000,201000,165000,201000,246000
family fued,0.33,1000000,-,823000,0.24,-,-,-,550000,550000,550000,823000,823000,1000000,1000000,1000000,823000,673000,823000,823000
gmaps,0.03,550000,-,135000,0.15,-,-,-,165000,165000,165000,165000,135000,135000,110000,135000,135000,135000,165000,135000
boys names,0.16,2740000,-,1500000,0.26,-,-,-,1500000,1500000,1500000,1500000,1500000,1830000,1500000,1220000,1220000,1220000,1220000,1220000
cheap books,0.94,550000,-,368000,2.11,-,-,-,246000,246000,165000,246000,301000,823000,368000,201000,201000,450000,1000000,368000
phonebook,0.45,1830000,-,823000,0.39,-,-,-,823000,823000,823000,1000000,823000,1000000,1000000,823000,823000,823000,823000,823000
japanese translator,0.09,550000,-,201000,0.47,-,-,-,165000,165000,201000,246000,201000,201000,201000,201000,201000,201000,201000,246000
shape magazine,0.39,110000,-,74000,0.25,-,-,-,60500,60500,60500,74000,74000,90500,74000,90500,90500,60500,49500,60500
dvd release dates,0.09,673000,-,450000,0.54,-,-,-,368000,368000,301000,450000,450000,550000,550000,673000,550000,550000,550000,450000
google earth live,0.3,246000,-,60500,0.29,-,-,-,33100,49500,74000,110000,74000,60500,60500,60500,49500,40500,33100,40500
directions google,0.1,823000,-,550000,0.1,-,-,-,1000000,823000,550000,550000,450000,450000,450000,450000,450000,450000,450000,450000
mad money,0.09,165000,-,135000,0.99,-,-,-,110000,110000,135000,165000,165000,165000,135000,135000,135000,110000,110000,90500
