Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
galoshes,0.57,33100,-,22200,0.9,-,-,-,12100,18100,18100,27100,27100,40500,40500,27100,27100,22200,12100,9900
mizuno running shoes,1,27100,-,18100,1.48,-,-,-,18100,18100,18100,22200,18100,18100,14800,14800,14800,14800,18100,18100
cheap jordan shoes,0.72,60500,-,40500,0.39,-,-,-,40500,40500,40500,49500,49500,49500,60500,40500,33100,27100,40500,33100
dansko clogs,1,90500,-,90500,1.24,-,-,-,60500,60500,74000,110000,110000,135000,110000,110000,110000,90500,74000,60500
mens dress shoes,0.97,74000,-,60500,1.66,-,-,-,49500,60500,60500,74000,60500,60500,60500,60500,60500,49500,49500,40500
brooks running shoes,1,33100,-,27100,1.37,-,-,-,27100,27100,27100,27100,27100,27100,22200,22200,22200,22200,27100,22200
aldoshoes,0.17,368000,-,165000,0.11,-,-,-,165000,165000,165000,201000,165000,165000,246000,246000,201000,165000,135000,135000
baseball cleats,0.92,90500,-,90500,1.01,-,-,-,74000,74000,110000,165000,135000,90500,49500,49500,49500,60500,60500,60500
cheap heels,0.96,74000,-,49500,0.74,-,-,-,49500,49500,60500,74000,60500,60500,40500,40500,60500,49500,40500,33100
mary jane shoes,0.87,74000,-,49500,0.87,-,-,-,40500,40500,49500,60500,49500,49500,40500,49500,74000,60500,49500,40500
lakai,0.34,201000,-,49500,0.67,-,-,-,40500,49500,40500,49500,49500,49500,60500,60500,60500,49500,60500,60500
dyeable shoes,0.91,40500,-,33100,0.97,-,-,-,33100,40500,40500,49500,40500,40500,22200,22200,27100,33100,33100,33100
eastland shoes,1,18100,-,14800,0.97,-,-,-,9900,12100,12100,14800,18100,18100,22200,22200,22200,14800,14800,9900
bamboo shoes,0.7,22200,-,14800,0.4,-,-,-,-,18100,18100,18100,14800,14800,18100,18100,18100,14800,12100,12100
vegan shoes,0.78,60500,-,27100,0.97,-,-,-,22200,27100,27100,33100,27100,33100,33100,33100,33100,33100,33100,22200
cheap shoes for women,0.97,49500,-,40500,1.16,-,-,-,40500,40500,40500,49500,49500,40500,40500,40500,40500,33100,33100,27100
air force 1,0.42,823000,-,368000,0.75,-,-,-,246000,301000,301000,368000,450000,368000,368000,368000,301000,301000,368000,301000
cycling shoes,0.9,201000,-,135000,1.04,-,-,-,135000,135000,135000,135000,135000,135000,110000,110000,110000,110000,135000,165000
lugz,0.69,33100,-,27100,0.39,-,-,-,14800,14800,18100,22200,27100,27100,40500,33100,27100,27100,27100,12100
cheap shoes online,0.91,49500,-,27100,1.05,-,-,-,27100,27100,27100,33100,27100,22200,22200,22200,22200,22200,22200,18100
soda shoes,0.56,18100,-,14800,0.37,-,-,-,22200,22200,18100,18100,12100,12100,14800,14800,14800,14800,14800,14800
wedge shoes,0.99,165000,-,90500,1.03,-,-,-,110000,135000,110000,135000,90500,74000,49500,49500,60500,60500,74000,74000
cool shoes,0.32,110000,-,60500,0.92,-,-,-,74000,74000,74000,74000,60500,60500,60500,49500,49500,49500,49500,40500
acorn slippers,1,22200,-,22200,1.23,-,-,-,8100,8100,9900,14800,18100,33100,74000,40500,22200,14800,12100,8100
wellies,0.83,1000000,-,165000,1.46,-,-,-,60500,90500,110000,165000,201000,301000,301000,201000,201000,135000,110000,74000
orthaheel,1,40500,-,22200,1.42,-,-,-,49500,49500,33100,27100,14800,12100,12100,12100,12100,14800,18100,22200
ipath,0.34,110000,-,49500,0.88,-,-,-,-,40500,40500,60500,49500,60500,60500,60500,49500,49500,49500,40500
stiletto heels,0.56,60500,-,33100,0.79,-,-,-,22200,27100,27100,33100,33100,33100,40500,40500,40500,33100,27100,27100
air yeezy,0.17,110000,-,74000,0.36,-,-,-,74000,90500,110000,110000,60500,60500,74000,60500,40500,40500,40500,40500
bogs,0.17,673000,-,246000,1.01,-,-,-,201000,246000,246000,301000,301000,301000,301000,246000,246000,246000,201000,165000
birkenstocks,0.99,823000,-,246000,0.92,-,-,-,368000,301000,301000,246000,201000,201000,201000,201000,201000,201000,246000,301000
jordan 11,0.2,246000,-,201000,0.4,-,-,-,135000,135000,165000,301000,201000,246000,450000,135000,165000,74000,90500,74000
jack rogers,0.99,49500,-,49500,1.54,-,-,-,90500,90500,74000,60500,33100,27100,22200,22200,22200,33100,40500,49500
vibrams,0.36,40500,-,33100,0.95,-,-,-,40500,40500,40500,40500,27100,22200,22200,18100,22200,22200,33100,22200
red wing,0.25,1500000,-,823000,0.88,-,-,-,673000,1220000,1220000,1000000,823000,1000000,1000000,823000,823000,673000,550000,550000
paris hilton shoes,0.69,33100,-,22200,0.58,-,-,-,60500,22200,18100,18100,18100,14800,14800,14800,18100,14800,18100,18100
kswiss,0.74,301000,-,110000,0.58,-,-,-,90500,90500,110000,135000,110000,135000,110000,90500,110000,135000,246000,74000
football cleats,0.8,135000,-,110000,0.72,-,-,-,135000,110000,74000,90500,74000,74000,60500,60500,90500,110000,201000,165000
alden shoes,0.68,33100,-,22200,0.65,-,-,-,22200,22200,27100,27100,22200,27100,27100,27100,27100,22200,18100,14800
indoor soccer shoes,1,60500,-,49500,0.93,-,-,-,33100,33100,33100,49500,49500,74000,74000,90500,74000,40500,33100,33100
giuseppe zanotti,0.96,74000,-,33100,1.98,-,-,-,33100,33100,33100,33100,40500,40500,33100,33100,27100,27100,27100,27100
carlos santana shoes,0.57,18100,-,18100,0.26,-,-,-,14800,18100,18100,18100,18100,14800,14800,18100,18100,22200,18100,18100
rulala,0.3,27100,-,27100,0.23,-,-,-,27100,27100,27100,27100,27100,27100,27100,27100,22200,22200,18100,18100
pastry shoes,0.52,49500,-,22200,0.35,-,-,-,14800,18100,18100,22200,22200,22200,27100,27100,22200,22200,27100,27100
derrick rose shoes,0.33,33100,-,27100,0.44,-,-,-,60500,74000,40500,27100,22200,14800,18100,22200,22200,3600,3600,3600
tretorn,0.78,135000,-,49500,1.09,-,-,-,33100,33100,40500,49500,49500,60500,60500,49500,60500,49500,40500,27100
nursing shoes,1,74000,-,60500,1.2,-,-,-,49500,49500,49500,60500,60500,74000,49500,49500,49500,60500,60500,60500
custom shoes,0.57,201000,-,135000,0.58,-,-,-,135000,135000,135000,165000,165000,165000,135000,135000,110000,110000,110000,90500
onitsuka tiger,0.67,301000,-,49500,0.72,-,-,-,40500,40500,49500,49500,49500,49500,49500,49500,60500,49500,49500,40500
k swiss tubes,0.92,33100,-,27100,0.66,-,-,-,12100,14800,18100,33100,22200,27100,27100,14800,18100,33100,90500,4400
teva sandals,1,74000,-,40500,1.26,-,-,-,74000,60500,40500,33100,27100,22200,18100,18100,22200,33100,49500,74000
walking shoes,0.8,368000,-,201000,1.19,-,-,-,201000,201000,201000,246000,201000,201000,201000,165000,201000,201000,201000,165000
loafers,0.7,368000,-,246000,1.09,-,-,-,246000,246000,201000,246000,246000,246000,246000,246000,246000,201000,201000,165000
kobe bryant shoes,0.44,40500,-,27100,0.35,-,-,-,18100,27100,27100,40500,40500,33100,40500,27100,18100,12100,14800,14800
via spiga,0.84,74000,-,49500,0.77,-,-,-,33100,33100,33100,40500,49500,60500,74000,74000,60500,49500,40500,40500
globe shoes,0.61,74000,-,27100,0.73,-,-,-,22200,22200,22200,27100,27100,33100,33100,27100,27100,22200,27100,22200
tony lama,0.68,60500,-,49500,0.76,-,-,-,40500,40500,40500,49500,49500,60500,74000,60500,49500,40500,33100,27100
mukluks,0.59,90500,-,49500,0.74,-,-,-,12100,12100,14800,27100,40500,74000,165000,110000,60500,33100,22200,14800
donald pliner,1,74000,-,60500,1.37,-,-,-,-,60500,49500,60500,60500,74000,74000,60500,74000,60500,60500,60500
st lucia resorts,0.8,49500,-,33100,1.62,-,-,-,33100,33100,33100,40500,40500,60500,33100,33100,33100,27100,33100,40500
high heel shoes,0.8,201000,-,90500,0.9,-,-,-,90500,110000,110000,135000,110000,110000,90500,90500,90500,90500,74000,74000
adizero,0.56,550000,-,110000,0.97,-,-,-,201000,201000,135000,165000,110000,90500,90500,90500,90500,60500,60500,74000
snooki slippers,0.13,18100,-,14800,0.33,-,-,-,6600,8100,14800,27100,33100,22200,22200,12100,33100,8100,2900,170
famous footware,0.28,550000,-,550000,0.18,-,-,-,450000,550000,550000,550000,450000,450000,823000,673000,450000,450000,673000,368000
new balance 993,1,33100,-,22200,1.78,-,-,-,22200,22200,27100,27100,22200,22200,22200,22200,22200,22200,22200,18100
hyperfuse,0.48,135000,-,74000,0.7,-,-,-,90500,90500,90500,90500,90500,90500,90500,110000,60500,40500,49500,27100
michael jordan shoes,0.63,40500,-,33100,0.35,-,-,-,27100,33100,33100,40500,40500,33100,40500,33100,27100,18100,22200,18100
leather up,0.55,74000,-,49500,0.42,-,-,-,49500,49500,49500,60500,49500,49500,60500,49500,49500,49500,40500,33100
mens slippers,1,135000,-,90500,1.39,-,-,-,-,27100,33100,49500,74000,110000,301000,165000,74000,40500,33100,27100
born boots,0.96,49500,-,40500,1.17,-,-,-,6600,6600,9900,22200,33100,74000,110000,90500,60500,40500,18100,8100
comfortable shoes,0.78,135000,-,110000,1.25,-,-,-,110000,110000,110000,135000,90500,90500,90500,90500,110000,110000,90500,74000
macbeth shoes,0.38,33100,-,14800,0.47,-,-,-,9900,12100,12100,12100,12100,12100,18100,18100,18100,14800,18100,14800
champs shoes,0.2,22200,-,18100,0.26,-,-,-,14800,14800,14800,18100,22200,22200,33100,18100,12100,14800,22200,14800
hiking shoes,0.87,90500,-,60500,1.37,-,-,-,74000,74000,74000,74000,74000,60500,60500,49500,60500,60500,60500,60500
shoe laces,0.5,301000,-,201000,0.55,-,-,-,135000,165000,165000,246000,201000,246000,201000,201000,201000,201000,165000,135000
olukai,1,33100,-,27100,1.15,-,-,-,49500,40500,33100,27100,22200,18100,18100,14800,18100,22200,27100,33100
winter boots for women,1,74000,-,49500,1.43,-,-,-,5400,2900,4400,14800,60500,135000,165000,110000,74000,33100,18100,9900
wide shoes,0.91,301000,-,201000,1.46,-,-,-,201000,201000,201000,246000,201000,201000,201000,201000,201000,201000,246000,201000
vasque,0.74,301000,-,60500,1.04,-,-,-,-,49500,49500,60500,74000,74000,90500,74000,74000,60500,49500,49500
ken griffey jr shoes,0.36,14800,-,14800,0.27,-,-,-,14800,18100,33100,33100,22200,8100,8100,5400,4400,4400,6600,6600
