Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
cpt codes,0.1,823000,-,823000,1,-,-,-,823000,823000,823000,1220000,1000000,1000000,673000,673000,673000,673000,550000,550000
etf,0.41,2240000,-,823000,10.46,-,-,-,823000,823000,1000000,1220000,1000000,1000000,823000,1000000,823000,673000,673000,550000
independent variable,0.03,246000,-,165000,0.2,-,-,-,90500,135000,165000,165000,201000,246000,165000,201000,246000,368000,135000,49500
penfed,0.09,135000,-,110000,0.32,-,-,-,135000,135000,110000,110000,110000,135000,110000,110000,110000,90500,90500,90500
exchange rate calculator,0.05,6120000,-,1000000,0.65,-,-,-,1000000,1220000,1000000,1220000,1000000,1000000,1000000,1000000,1000000,823000,823000,823000
healthy families,0.33,135000,-,110000,0.88,-,-,-,135000,110000,110000,135000,110000,135000,90500,110000,110000,90500,90500,90500
amortization,0.3,823000,-,673000,0.76,-,-,-,673000,673000,673000,823000,673000,673000,550000,673000,673000,673000,673000,673000
compound interest calculator,0.27,135000,-,74000,1.92,-,-,-,74000,74000,90500,90500,90500,90500,74000,74000,90500,74000,60500,60500
credit union,0.04,20400000,-,16600000,0.91,-,-,-,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,13600000
identity theft,0.52,368000,-,301000,5.36,-,-,-,246000,301000,301000,368000,301000,301000,246000,301000,301000,301000,246000,201000
pet insurance,0.74,550000,-,165000,4.73,-,-,-,165000,165000,165000,201000,165000,201000,165000,165000,165000,165000,165000,165000
charterone,0.07,301000,-,301000,0.53,-,-,-,368000,368000,301000,368000,301000,301000,301000,301000,301000,301000,301000,301000
irs phone number,0.22,74000,-,74000,0.43,-,-,-,60500,74000,135000,110000,165000,110000,49500,40500,40500,40500,49500,49500
federal student loans,0.33,135000,-,110000,6.25,-,-,-,135000,110000,110000,135000,135000,165000,110000,110000,110000,110000,135000,135000
tax forms,0.21,1830000,-,1500000,1.65,-,-,-,673000,673000,4090000,3350000,3350000,2740000,823000,550000,673000,550000,550000,550000
scholarships for high school seniors,0.84,74000,-,74000,2.79,-,-,-,33100,40500,60500,90500,110000,165000,90500,110000,90500,74000,49500,40500
travel insurance,0.8,2740000,-,301000,6.4,-,-,-,301000,246000,246000,301000,368000,368000,368000,301000,246000,301000,301000,301000
reverse mortgage,0.9,246000,-,201000,11.56,-,-,-,201000,165000,165000,246000,246000,301000,246000,201000,201000,165000,201000,201000
government grants,0.83,368000,-,246000,2.54,-,-,-,201000,165000,165000,246000,246000,301000,201000,246000,246000,246000,301000,246000
1099 form,0.23,246000,-,246000,1.58,-,-,-,90500,90500,246000,368000,550000,823000,165000,110000,110000,110000,90500,90500
stock market game,0.3,110000,-,74000,4.12,-,-,-,22200,60500,110000,165000,135000,74000,74000,110000,135000,60500,18100,18100
mad money,0.09,165000,-,135000,0.99,-,-,-,110000,110000,135000,165000,165000,165000,135000,135000,135000,110000,110000,90500
making home affordable,0.49,110000,-,110000,1.51,-,-,-,135000,110000,90500,90500,90500,110000,90500,110000,110000,110000,90500,90500
healthnet,0.21,201000,-,165000,2.79,-,-,-,-,165000,165000,201000,165000,201000,165000,201000,201000,165000,165000,165000
student loan consolidation,0.66,165000,-,135000,5.46,-,-,-,110000,110000,110000,135000,135000,165000,135000,201000,135000,135000,135000,135000
homeowners insurance,0.75,1000000,-,550000,10.19,-,-,-,673000,550000,550000,673000,673000,673000,550000,550000,550000,550000,550000,550000
payday loans online,0.97,135000,-,90500,12.5,-,-,-,110000,90500,74000,74000,60500,110000,135000,110000,90500,90500,90500,90500
bank rate,0.47,1830000,-,673000,1.83,-,-,-,673000,550000,550000,673000,673000,673000,673000,673000,673000,673000,823000,673000
invoice template,0.51,368000,-,165000,2.22,-,-,-,201000,201000,165000,201000,165000,165000,165000,165000,165000,165000,165000,165000
fha loans,0.8,246000,-,246000,4,-,-,-,246000,246000,246000,301000,246000,301000,201000,201000,246000,201000,246000,201000
53 bank,0.06,165000,-,165000,1.36,-,-,-,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,135000,135000
risk online,0.42,246000,-,110000,0.59,-,-,-,110000,110000,90500,110000,110000,135000,135000,110000,90500,90500,90500,90500
bad credit loans,0.97,1000000,-,673000,5.1,-,-,-,673000,550000,550000,550000,550000,673000,673000,673000,673000,673000,673000,673000
w9 form,0.08,301000,-,301000,0.11,-,-,-,246000,246000,246000,301000,301000,550000,301000,301000,301000,246000,246000,246000
current mortgage rates,1,165000,-,135000,4.67,-,-,-,110000,110000,90500,135000,135000,165000,165000,201000,165000,165000,201000,165000
federal tax forms,0.27,165000,-,165000,1.4,-,-,-,60500,60500,450000,301000,368000,301000,74000,40500,49500,49500,40500,49500
fha loan,0.71,301000,-,301000,3.98,-,-,-,301000,301000,301000,368000,301000,368000,246000,246000,301000,301000,301000,246000
small business loans,0.94,201000,-,165000,7.35,-,-,-,165000,135000,135000,165000,201000,201000,165000,201000,201000,201000,165000,165000
best credit cards,0.65,450000,-,301000,6.64,-,-,-,368000,368000,301000,368000,301000,368000,368000,368000,301000,301000,301000,301000
term life insurance,0.91,246000,-,201000,22.55,-,-,-,165000,135000,135000,201000,201000,201000,246000,246000,201000,165000,201000,165000
blue shield of california,0.34,135000,-,135000,2.61,-,-,-,90500,90500,90500,110000,135000,201000,135000,165000,165000,165000,135000,135000
cheap car insurance,0.95,673000,-,165000,35.62,-,-,-,135000,110000,110000,165000,165000,201000,165000,165000,165000,165000,165000,135000
secured credit cards,0.8,201000,-,165000,3.87,-,-,-,165000,165000,165000,201000,201000,201000,165000,165000,165000,165000,165000,165000
capitolone,0.11,301000,-,301000,0.31,-,-,-,301000,246000,246000,301000,246000,301000,301000,246000,301000,301000,301000,301000
bank of oklahoma,0.08,165000,-,165000,1.91,-,-,-,165000,165000,165000,165000,165000,165000,165000,135000,135000,135000,165000,135000
factoring,0.2,1220000,-,550000,13.96,-,-,-,450000,673000,550000,673000,673000,673000,450000,673000,673000,673000,368000,301000
sears credit card login,0.14,40500,-,40500,0.77,-,-,-,40500,40500,33100,40500,40500,27100,27100,33100,40500,40500,49500,60500
new york life,0.25,550000,-,301000,2.94,-,-,-,368000,368000,301000,450000,368000,368000,301000,301000,301000,301000,301000,246000
farm bureau,0.25,368000,-,368000,2.22,-,-,-,450000,450000,368000,450000,368000,368000,301000,368000,368000,368000,368000,301000
mortgage rates today,0.99,110000,-,110000,4.48,-,-,-,90500,74000,74000,90500,90500,110000,135000,165000,110000,110000,135000,135000
life insurance quotes,0.96,201000,-,135000,24.2,-,-,-,110000,90500,90500,135000,135000,135000,135000,135000,110000,135000,135000,135000
tax brackets 2010,0.09,165000,-,135000,0.57,-,-,-,9900,14800,90500,110000,201000,301000,246000,135000,135000,110000,90500,90500
prime rate,0.37,246000,-,135000,0.49,-,-,-,110000,110000,110000,135000,135000,135000,110000,135000,135000,135000,135000,110000
checks in the mail,0.84,74000,-,74000,1.82,-,-,-,60500,60500,60500,74000,74000,90500,60500,74000,74000,74000,74000,60500
loans for people with bad credit,0.98,201000,-,90500,4.68,-,-,-,74000,60500,40500,49500,74000,110000,135000,135000,135000,110000,135000,135000
w-9 form 2010,0.14,90500,-,90500,0.1,-,-,-,12100,27100,40500,27100,60500,201000,165000,165000,135000,135000,135000,110000
order checks,0.84,165000,-,165000,4.7,-,-,-,165000,165000,165000,201000,165000,201000,165000,165000,165000,165000,165000,135000
prepaid legal,0.28,135000,-,110000,1.05,-,-,-,110000,110000,110000,135000,110000,135000,110000,110000,135000,135000,110000,110000
annuity,0.63,1000000,-,673000,10.9,-,-,-,673000,673000,673000,823000,823000,823000,673000,673000,673000,673000,673000,823000
prescott az,0.35,301000,-,301000,1.8,-,-,-,301000,301000,301000,301000,301000,301000,301000,301000,301000,301000,301000,301000
true credit,0.25,90500,-,90500,1,-,-,-,90500,90500,90500,90500,90500,90500,74000,74000,90500,90500,90500,74000
invoice,0.49,2740000,-,823000,3.34,-,-,-,823000,823000,823000,1000000,823000,1000000,823000,823000,823000,823000,823000,673000
auto loans,0.72,673000,-,550000,4.68,-,-,-,550000,450000,450000,550000,550000,673000,550000,550000,550000,550000,550000,550000
refinance,0.88,1220000,-,1000000,7.59,-,-,-,823000,673000,550000,823000,823000,1000000,1000000,1220000,1220000,1220000,1220000,1220000
microsoft money,0.29,246000,-,90500,1.51,-,-,-,60500,74000,74000,90500,110000,135000,110000,110000,90500,90500,90500,90500
libor,0.15,673000,-,201000,0.38,-,-,-,201000,165000,201000,201000,201000,201000,165000,165000,165000,165000,165000,165000
yurt,0.27,2740000,-,135000,0.52,-,-,-,135000,135000,135000,165000,135000,135000,110000,110000,110000,135000,135000,135000
mass mutual,0.16,135000,-,135000,0.97,-,-,-,135000,135000,135000,165000,165000,165000,135000,135000,135000,110000,110000,110000
income tax calculator,0.26,368000,-,110000,1.37,-,-,-,60500,60500,90500,110000,165000,301000,135000,90500,74000,74000,60500,60500
cigna dental,0.39,74000,-,60500,2.11,-,-,-,60500,60500,49500,74000,60500,74000,49500,74000,60500,49500,49500,40500
fha loan requirements,0.74,40500,-,40500,2.89,-,-,-,49500,33100,27100,27100,40500,60500,40500,40500,49500,40500,49500,49500
foreign exchange,0.31,1830000,-,450000,4.1,-,-,-,450000,450000,450000,550000,550000,550000,450000,450000,550000,450000,450000,368000
health net,0.18,450000,-,301000,2.6,-,-,-,246000,246000,246000,368000,246000,301000,246000,301000,301000,301000,301000,246000
medicare part b,0.58,90500,-,90500,4.04,-,-,-,90500,90500,90500,110000,90500,110000,110000,110000,110000,74000,60500,60500
mortgage interest rates,0.92,246000,-,135000,4.34,-,-,-,110000,90500,90500,135000,135000,165000,165000,165000,135000,135000,165000,135000
workers compensation,0.39,1000000,-,823000,10.36,-,-,-,823000,823000,823000,1220000,1000000,1000000,673000,823000,823000,823000,823000,673000
cheap auto insurance,0.96,110000,-,90500,37.51,-,-,-,90500,74000,74000,90500,90500,90500,90500,90500,90500,90500,110000,90500
captial one,0.12,49500,-,40500,0.42,-,-,-,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,60500
general insurance,0.66,673000,-,301000,4.97,-,-,-,246000,246000,246000,301000,301000,368000,301000,301000,301000,301000,301000,301000
efirstbank,0.09,40500,-,40500,0.1,-,-,-,40500,40500,40500,40500,40500,40500,40500,40500,40500,33100,33100,33100
countrywide,0.16,450000,-,165000,1.54,-,-,-,165000,135000,135000,165000,165000,201000,165000,165000,201000,165000,165000,165000
gaap,0.1,450000,-,165000,2.16,-,-,-,165000,165000,201000,201000,201000,165000,135000,165000,201000,165000,135000,135000
pnc bank arts center,0.45,40500,-,40500,0.44,-,-,-,74000,74000,40500,33100,14800,8100,22200,9900,6600,22200,74000,90500
kaiser permanente locations,0.19,33100,-,33100,0.28,-,-,-,22200,12100,12100,12100,27100,49500,40500,40500,40500,40500,40500,40500
aetna insurance,0.57,110000,-,90500,3.42,-,-,-,74000,74000,74000,90500,90500,110000,90500,110000,110000,110000,110000,74000
oxford health,0.14,135000,-,90500,2.12,-,-,-,110000,90500,90500,110000,90500,110000,90500,110000,110000,90500,90500,90500
payday loan,0.92,1500000,-,823000,11.44,-,-,-,823000,673000,550000,673000,673000,1000000,1220000,1000000,823000,823000,823000,823000
college scholarships,0.74,368000,-,301000,3.42,-,-,-,246000,246000,301000,368000,368000,450000,301000,301000,301000,246000,246000,246000
credit repair,0.88,368000,-,246000,9.1,-,-,-,246000,201000,201000,301000,301000,301000,301000,246000,246000,246000,368000,246000
cheap checks,0.99,90500,-,74000,4.62,-,-,-,74000,74000,74000,90500,90500,90500,74000,74000,74000,74000,74000,74000
small business grants,0.93,135000,-,110000,3.31,-,-,-,90500,74000,74000,110000,110000,135000,90500,110000,110000,135000,110000,110000
student loan,0.49,2740000,-,1830000,6.2,-,-,-,1830000,1830000,1830000,1830000,1830000,2240000,1830000,1830000,1830000,1830000,2240000,2240000
blue shield,0.32,2240000,-,2240000,2.81,-,-,-,2240000,1830000,1830000,2240000,2240000,2740000,1830000,2240000,2240000,1830000,1830000,1830000
grants for college,0.87,246000,-,201000,5.44,-,-,-,201000,201000,201000,246000,246000,301000,201000,201000,201000,201000,246000,201000
aetna doc find,0.09,33100,-,33100,1.73,-,-,-,27100,27100,27100,27100,33100,40500,33100,40500,40500,33100,33100,33100
searscard,0.24,201000,-,201000,0.33,-,-,-,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000
irs tax forms,0.23,110000,-,110000,1.3,-,-,-,40500,33100,246000,201000,246000,201000,60500,40500,40500,40500,33100,33100
ftb.ca.gov,0.09,27100,-,27100,0.34,-,-,-,27100,18100,60500,40500,40500,33100,14800,14800,14800,14800,12100,18100
nevada federal credit union,0.08,40500,-,40500,0.15,-,-,-,-,40500,40500,40500,40500,40500,40500,33100,33100,33100,33100,40500
refinance calculator,0.98,74000,-,60500,3.92,-,-,-,49500,40500,27100,40500,40500,49500,49500,90500,110000,90500,110000,90500
scrap metal prices,0.62,135000,-,74000,0.72,-,-,-,90500,90500,90500,90500,74000,74000,60500,74000,74000,60500,60500,60500
bad credit credit cards,1,301000,-,201000,3.78,-,-,-,246000,201000,165000,201000,201000,201000,246000,301000,201000,201000,201000,201000
copper prices,0.58,246000,-,110000,0.5,-,-,-,110000,135000,135000,165000,135000,135000,135000,110000,110000,90500,74000,74000
car loans,0.83,1000000,-,550000,5.21,-,-,-,450000,450000,450000,550000,550000,550000,550000,550000,550000,450000,550000,550000
