Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
carpet cleaning,0.75,1830000,-,1220000,6.21,-,-,-,1220000,1220000,1220000,1500000,1500000,1500000,1220000,1220000,1220000,1220000,1220000,1220000
ssdi,0.32,165000,-,135000,2.53,-,-,-,165000,165000,165000,165000,165000,165000,135000,135000,135000,135000,110000,110000
black people meet,0.18,246000,-,246000,0.13,-,-,-,246000,246000,246000,246000,246000,301000,246000,246000,246000,201000,201000,201000
baby shower ideas,0.53,301000,-,246000,0.71,-,-,-,246000,246000,246000,301000,246000,368000,135000,165000,246000,246000,246000,246000
psychic,0.44,2240000,-,1000000,6.91,-,-,-,1000000,1000000,1000000,1220000,1000000,1220000,1000000,1000000,1000000,823000,823000,1000000
mail order brides,0.85,201000,-,135000,1.82,-,-,-,110000,110000,110000,201000,135000,165000,165000,135000,165000,135000,135000,135000
florida virtual school,0.12,201000,-,201000,0.91,-,-,-,301000,246000,201000,201000,201000,201000,135000,201000,165000,165000,165000,165000
math games for kids,0.3,368000,-,246000,0.43,-,-,-,246000,368000,301000,368000,301000,301000,246000,301000,246000,201000,110000,90500
2012 predictions,0.12,201000,-,110000,0.42,-,-,-,74000,135000,110000,135000,110000,201000,90500,74000,74000,60500,60500,74000
baby bedding,0.91,673000,-,550000,0.99,-,-,-,550000,550000,450000,550000,550000,673000,450000,450000,550000,550000,550000,550000
beth moore,0.31,201000,-,165000,0.5,-,-,-,135000,135000,135000,201000,165000,201000,110000,135000,165000,201000,201000,135000
used car values,0.5,301000,-,201000,0.7,-,-,-,301000,246000,201000,201000,246000,301000,201000,201000,165000,135000,165000,246000
alcoholism,0.23,1500000,-,1000000,4.85,-,-,-,823000,823000,823000,1220000,1000000,1000000,1000000,1000000,1000000,823000,673000,823000
discount auto parts,0.75,90500,-,74000,0.92,-,-,-,74000,74000,74000,90500,74000,74000,74000,74000,74000,74000,74000,74000
disability,0.42,5000000,-,2740000,4.04,-,-,-,2740000,2740000,2740000,3350000,3350000,3350000,2740000,2740000,2740000,2740000,2240000,2240000
consumer reports cars,0.47,90500,-,74000,1.39,-,-,-,74000,74000,74000,90500,74000,90500,74000,74000,74000,60500,74000,90500
fractions,0.08,2740000,-,1830000,0.41,-,-,-,1220000,1830000,1830000,2740000,2740000,2740000,1500000,1830000,1830000,1830000,1000000,673000
hypnosis,0.27,2240000,-,1000000,1.92,-,-,-,823000,823000,823000,1000000,1220000,1000000,823000,823000,823000,823000,823000,823000
social security benefits,0.49,368000,-,368000,1.77,-,-,-,368000,368000,450000,550000,450000,450000,368000,301000,301000,301000,301000,301000
heaven is for real,0.19,110000,-,90500,0.71,-,-,-,165000,201000,201000,246000,90500,74000,27100,40500,9900,9900,12100,12100
leed,0.27,673000,-,301000,3.19,-,-,-,301000,301000,301000,368000,301000,301000,246000,301000,301000,301000,301000,246000
fitness singles,0.16,90500,-,49500,0.35,-,-,-,49500,49500,49500,49500,49500,60500,49500,49500,60500,60500,60500,60500
unemployment pa,0.16,368000,-,368000,0.58,-,-,-,368000,301000,301000,368000,368000,450000,368000,301000,301000,301000,368000,450000
montessori,0.22,2240000,-,823000,2.11,-,-,-,823000,823000,823000,1000000,1000000,1000000,673000,823000,823000,823000,823000,673000
early pregnancy symptoms,0.23,450000,-,246000,0.41,-,-,-,301000,246000,246000,301000,246000,301000,246000,301000,301000,246000,246000,246000
gulf oil spill,0.32,368000,-,246000,2.83,-,-,-,49500,110000,135000,135000,110000,135000,135000,201000,246000,368000,301000,1000000
endangered species list,0.55,135000,-,74000,0.91,-,-,-,49500,135000,110000,110000,90500,90500,74000,110000,90500,74000,27100,27100
names and meanings,0.11,3350000,-,1500000,0.28,-,-,-,1220000,1500000,1220000,1500000,1500000,1830000,1500000,1500000,1500000,1500000,1220000,1220000
gas calculator,0.09,165000,-,135000,0.6,-,-,-,201000,246000,201000,201000,135000,135000,90500,90500,74000,74000,74000,74000
head start,0.15,550000,-,450000,0.91,-,-,-,450000,450000,450000,550000,550000,450000,301000,368000,450000,450000,450000,368000
sugar daddy,0.6,450000,-,201000,1.19,-,-,-,246000,246000,201000,201000,246000,201000,201000,201000,201000,201000,201000,201000
galapagos islands,0.51,201000,-,110000,2.86,-,-,-,74000,135000,135000,165000,135000,135000,110000,135000,110000,110000,74000,74000
is the world going to end in 2012,0.15,90500,-,49500,0.34,-,-,-,60500,110000,60500,74000,40500,74000,40500,40500,33100,27100,22200,33100
ovulation predictor,0.41,74000,-,49500,1.56,-,-,-,40500,40500,40500,49500,49500,60500,49500,60500,60500,49500,60500,49500
baby shower themes,0.69,246000,-,201000,0.59,-,-,-,201000,201000,201000,246000,201000,301000,110000,135000,165000,201000,201000,165000
chinese gender chart,0.29,74000,-,60500,0.73,-,-,-,60500,49500,49500,60500,60500,74000,60500,60500,60500,60500,49500,49500
chinese calendar,0.31,550000,-,246000,0.5,-,-,-,201000,201000,201000,246000,301000,368000,301000,246000,246000,246000,246000,246000
relationship advice,0.31,165000,-,90500,1.33,-,-,-,74000,74000,74000,90500,90500,90500,74000,90500,90500,74000,74000,90500
russian women,0.65,450000,-,165000,1.87,-,-,-,135000,135000,135000,165000,165000,165000,165000,165000,165000,165000,165000,165000
car seat covers,0.86,301000,-,201000,0.78,-,-,-,-,165000,165000,201000,201000,201000,201000,201000,201000,201000,201000,201000
algebra solver,0.18,90500,-,74000,0.54,-,-,-,74000,90500,90500,90500,90500,90500,60500,90500,90500,90500,49500,40500
501 c 3,0.45,165000,-,165000,3.31,-,-,-,165000,165000,165000,246000,201000,201000,135000,165000,165000,165000,135000,135000
cribs,0.66,2240000,-,1500000,1.05,-,-,-,1500000,1500000,1500000,1830000,1830000,2240000,1500000,1500000,1500000,1500000,1500000,1830000
gas mileage,0.27,1220000,-,1000000,1.27,-,-,-,1220000,1500000,1500000,1500000,1220000,1220000,673000,673000,673000,673000,673000,673000
most popular baby names,0.14,110000,-,74000,0.21,-,-,-,74000,90500,74000,74000,74000,135000,90500,74000,74000,60500,49500,49500
kids furniture,0.93,368000,-,246000,1.19,-,-,-,201000,165000,165000,246000,246000,301000,201000,246000,201000,201000,246000,246000
singles.net,0.23,27100,-,27100,0.59,-,-,-,14800,14800,18100,22200,27100,33100,27100,27100,27100,27100,33100,33100
baby names for boys,0.25,823000,-,368000,0.28,-,-,-,368000,368000,368000,368000,368000,450000,368000,368000,368000,301000,301000,301000
sign language dictionary,0.22,110000,-,90500,0.6,-,-,-,90500,90500,90500,110000,90500,90500,90500,110000,110000,90500,60500,60500
maryland unemployment,0.24,110000,-,110000,0.64,-,-,-,90500,90500,90500,110000,110000,135000,110000,110000,110000,90500,110000,110000
pyramid collection,0.21,49500,-,49500,0.1,-,-,-,40500,40500,40500,49500,40500,40500,40500,49500,60500,60500,49500,40500
bp claims,0.37,60500,-,60500,1.49,-,-,-,18100,22200,33100,33100,40500,60500,90500,165000,165000,33100,33100,49500
daycare,0.34,6120000,-,4090000,2.36,-,-,-,4090000,4090000,4090000,6120000,5000000,5000000,3350000,3350000,3350000,4090000,4090000,3350000
crib bedding,0.88,550000,-,450000,0.96,-,-,-,450000,450000,450000,550000,550000,673000,368000,450000,450000,450000,450000,450000
teenage pregnancy,0.25,550000,-,368000,1.35,-,-,-,201000,450000,550000,550000,450000,450000,368000,550000,450000,301000,135000,165000
parenting magazine,0.18,60500,-,49500,0.53,-,-,-,40500,40500,40500,49500,49500,60500,49500,60500,60500,49500,49500,49500
eft,0.19,823000,-,201000,3.67,-,-,-,165000,201000,201000,246000,246000,201000,165000,165000,165000,165000,165000,165000
week by week pregnancy,0.22,1830000,-,823000,0.32,-,-,-,673000,673000,673000,823000,823000,823000,823000,823000,823000,823000,823000,823000
sugardaddyforme,0.2,33100,-,33100,0.16,-,-,-,33100,33100,33100,33100,33100,33100,33100,27100,27100,27100,33100,33100
meanings of names,0.11,3350000,-,1500000,0.28,-,-,-,1220000,1500000,1220000,1500000,1500000,1830000,1500000,1500000,1500000,1500000,1220000,1220000
bassinet,0.67,368000,-,201000,0.79,-,-,-,246000,201000,201000,246000,246000,301000,201000,201000,201000,201000,201000,201000
math problems,0.24,673000,-,450000,0.54,-,-,-,301000,450000,450000,550000,550000,550000,368000,450000,550000,450000,301000,246000
rainforest animals,0.23,301000,-,165000,0.92,-,-,-,90500,301000,246000,246000,201000,201000,135000,201000,246000,165000,49500,40500
low income apartments,0.82,368000,-,368000,1.24,-,-,-,368000,368000,368000,450000,450000,550000,368000,368000,368000,368000,368000,301000
galapagos,0.46,1000000,-,301000,2.91,-,-,-,246000,368000,301000,368000,368000,368000,246000,301000,246000,246000,201000,201000
medela breast pump,0.71,110000,-,60500,0.92,-,-,-,60500,60500,60500,74000,74000,74000,60500,60500,60500,60500,74000,74000
strollers,0.74,2240000,-,1220000,0.86,-,-,-,1220000,1220000,1220000,1500000,1500000,1500000,1000000,1220000,1220000,1220000,1500000,1220000
pediped,0.78,74000,-,49500,0.71,-,-,-,40500,49500,49500,60500,49500,49500,40500,60500,60500,60500,49500,33100
law of attraction,0.18,246000,-,90500,0.92,-,-,-,90500,90500,90500,110000,110000,110000,90500,90500,90500,90500,90500,90500
black history,0.11,673000,-,450000,0.75,-,-,-,165000,246000,246000,450000,2740000,1000000,246000,246000,201000,165000,135000,135000
conception calculator,0.25,90500,-,49500,0.43,-,-,-,49500,49500,49500,49500,49500,74000,60500,60500,49500,49500,49500,60500
volunteers of america,0.08,823000,-,201000,1.56,-,-,-,201000,201000,201000,246000,201000,201000,165000,165000,165000,165000,165000,165000
