Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
cute baby girl clothes,0.98,3600,-,2900,1.15,-,-,-,2400,2400,3600,3600,3600,3600,2400,2400,2900,2900,2400,1900
cute baby boy clothes,0.97,3600,-,2900,1.25,-,-,-,2900,2400,2900,3600,3600,2900,2400,2400,2400,2400,2400,2400
osh gosh,0.19,49500,-,33100,0.19,-,-,-,27100,27100,33100,40500,33100,33100,27100,33100,33100,33100,33100,27100
big sister shirt,1,27100,-,22200,0.92,-,-,-,22200,18100,18100,27100,27100,27100,18100,22200,22200,22200,27100,22200
wholesale pettiskirts,0.8,4400,-,3600,0.5,-,-,-,2900,3600,3600,4400,4400,4400,1900,3600,4400,3600,3600,2900
newborn girl clothes,1,90500,-,60500,1.1,-,-,-,49500,49500,49500,74000,74000,74000,49500,60500,60500,49500,49500,40500
personalized onesies,1,9900,-,9900,1.29,-,-,-,9900,8100,8100,12100,9900,12100,8100,9900,8100,9900,9900,9900
cotton clothing,0.72,90500,-,40500,1.01,-,-,-,40500,40500,40500,60500,49500,49500,40500,40500,40500,40500,40500,40500
hip baby clothes,0.77,5400,-,4400,0.82,-,-,-,3600,2900,3600,4400,5400,5400,4400,4400,4400,4400,4400,4400
little girls pageant dresses,0.99,9900,-,8100,0.55,-,-,-,8100,6600,8100,14800,14800,12100,4400,5400,5400,6600,6600,8100
kids clothes online,0.87,33100,-,6600,1.42,-,-,-,6600,5400,6600,9900,8100,6600,8100,8100,6600,5400,8100,6600
pediped sale,1,2900,-,2400,0.6,-,-,-,1600,2400,2400,2900,2400,2400,1900,2900,3600,3600,2900,1900
sock monkey slippers,0.72,2900,-,2400,0.59,-,-,-,880,720,720,1600,1600,2400,9900,6600,2900,1300,1000,880
cool baby stuff,0.86,3600,-,1900,0.76,-,-,-,1900,1900,1600,2400,2400,2400,1900,1900,1900,1900,2400,2400
baby clothing boutique,0.92,27100,-,22200,0.91,-,-,-,18100,14800,22200,27100,27100,33100,22200,22200,22200,22200,22200,18100
baby pageant dresses,0.94,6600,-,5400,0.55,-,-,-,5400,4400,5400,9900,9900,9900,2900,3600,4400,5400,5400,5400
personalized clothing,0.86,110000,-,74000,1.47,-,-,-,60500,60500,60500,90500,90500,90500,74000,74000,74000,74000,74000,60500
anavini,0.61,5400,-,4400,0.27,-,-,-,5400,3600,4400,6600,5400,5400,2900,5400,5400,5400,4400,3600
baby pajamas,0.9,33100,-,18100,1.07,-,-,-,12100,12100,12100,18100,18100,18100,33100,33100,22200,18100,14800,14800
little mismatched,0.29,6600,-,5400,0.22,-,-,-,2900,3600,4400,5400,5400,6600,12100,12100,4400,3600,4400,3600
ragsland,0.16,5400,-,4400,0.15,-,-,-,4400,2900,2900,5400,6600,8100,3600,4400,4400,4400,5400,5400
layette,0.7,110000,-,27100,0.73,-,-,-,22200,22200,22200,27100,27100,33100,22200,22200,27100,22200,27100,22200
unique baby clothes,0.95,12100,-,9900,0.95,-,-,-,8100,8100,8100,12100,12100,12100,8100,9900,9900,12100,12100,9900
pettiskirts,0.74,49500,-,33100,0.42,-,-,-,22200,22200,27100,40500,33100,40500,22200,33100,49500,40500,33100,27100
funny baby onesies,0.88,6600,-,6600,0.48,-,-,-,6600,5400,6600,8100,6600,6600,6600,6600,6600,6600,6600,6600
punk baby clothes,0.77,8100,-,6600,0.4,-,-,-,5400,4400,5400,6600,6600,6600,6600,6600,6600,6600,8100,6600
talbots kids,0.65,6600,-,5400,0.41,-,-,-,3600,4400,5400,6600,5400,4400,6600,8100,6600,5400,5400,4400
flower girls dresses,1,301000,-,201000,1.23,-,-,-,201000,201000,201000,301000,246000,301000,135000,135000,165000,165000,201000,201000
cheap kids clothes,0.97,33100,-,14800,1.43,-,-,-,12100,12100,12100,18100,18100,14800,18100,18100,18100,14800,18100,14800
girls pageant dresses,0.97,27100,-,27100,0.63,-,-,-,27100,22200,27100,40500,40500,40500,14800,18100,18100,22200,22200,22200
children clothing,0.79,1500000,-,823000,1.05,-,-,-,550000,550000,673000,1000000,1000000,1000000,823000,823000,823000,823000,823000,673000
pageant dresses for girls,0.97,27100,-,27100,0.61,-,-,-,27100,22200,27100,40500,40500,40500,14800,18100,18100,22200,22200,22200
bonnie jean dresses,0.93,12100,-,9900,0.57,-,-,-,5400,6600,12100,18100,12100,9900,9900,18100,9900,8100,5400,4400
